,loss,accuracy,val_loss,val_accuracy
30,-2176792370610176.0,0.9947324395179749,-2476932335665152.0,0.9946292638778687
31,-2831385517621248.0,0.9945582747459412,-3255739023884288.0,0.994537889957428
32,-3649695704416256.0,0.9943723082542419,-4193477218795520.0,0.9944350719451904
33,-4663384758812672.0,0.9941679239273071,-5339038949048320.0,0.994249701499939
34,-5909242028490752.0,0.9940073490142822,-6839914196893696.0,0.9942642450332642
35,-7428648449605632.0,0.9938625693321228,-8591165100130304.0,0.9942299127578735
36,-9270004008615936.0,0.9937501549720764,-1.065145446957056e+16,0.9941322803497314
37,-1.14866752847872e+16,0.9936373233795166,-1.3226729745154048e+16,0.9941387176513672
38,-1.4139975083753472e+16,0.9935435652732849,-1.6206790656e+16,0.9940563440322876
39,-1.7298742067593216e+16,0.9934391379356384,-1.963882171282227e+16,0.9939790368080139
40,-2.104112853496627e+16,0.9933452010154724,-2.394777986478899e+16,0.9940410852432251
41,-2.5453226031579136e+16,0.993251383304596,-2.9059379357548544e+16,0.994022011756897
42,-3.0626698823204864e+16,0.9931789040565491,-3.5196595565756416e+16,0.9940875768661499
43,-3.666440063916442e+16,0.9931114315986633,-4.270428429851034e+16,0.9942470788955688
44,-4.368244162533786e+16,0.9930499792098999,-5.142469570199552e+16,0.9943050146102905
45,-5.180416465253171e+16,0.9929823279380798,-6.093197517887898e+16,0.9942623376846313
46,-6.117179756275302e+16,0.99294114112854,-7.245724074482074e+16,0.9942916631698608
47,-7.193428552685978e+16,0.9928804636001587,-8.514380963302605e+16,0.9942469000816345
48,-8.426196694781133e+16,0.9928529858589172,-9.969890404335616e+16,0.994236171245575
49,-9.832985744795238e+16,0.9928117394447327,-1.1538264713959834e+17,0.9941312670707703
50,-1.143332062405591e+17,0.9927732944488525,-1.338950642869207e+17,0.9941543340682983
51,-1.324935047890862e+17,0.9927253723144531,-1.5522808953674138e+17,0.9941238164901733
52,-1.530298050155643e+17,0.9926841259002686,-1.7899843141763072e+17,0.9940428137779236
53,-1.7619539832130765e+17,0.9926338791847229,-2.043655047002194e+17,0.9939847588539124
54,-2.0224854967975936e+17,0.9925846457481384,-2.342897272624251e+17,0.9939495325088501
55,-2.314796160599982e+17,0.9913023114204407,-2.6786633847354163e+17,0.992157518863678
56,-2.6420237059280077e+17,0.9907754063606262,-3.062960050311004e+17,0.9921528100967407
57,-3.007267724779848e+17,0.990729033946991,-3.481781896394834e+17,0.9921312928199768
58,-3.414328232420311e+17,0.9906908869743347,-3.929170085360435e+17,0.9920421838760376
59,-3.866788262366413e+17,0.9906438589096069,-4.4353251092463616e+17,0.9919716119766235
60,-4.368543521754317e+17,0.990611732006073,-5.015187269489787e+17,0.9919369220733643
61,-4.9240989158814515e+17,0.9905662536621094,-5.660183811367895e+17,0.9918864965438843
62,-5.538159323722547e+17,0.9905228018760681,-6.348866698996613e+17,0.9918290972709656
63,-6.215054759506739e+17,0.990483820438385,-7.095665304503583e+17,0.9917134642601013
64,-6.960765535696978e+17,0.9904443025588989,-7.952718125680558e+17,0.9916933178901672
65,-7.77887021904429e+17,0.9904101490974426,-8.870152002286387e+17,0.9916690587997437
66,-8.677064703748342e+17,0.9903759360313416,-9.794981468978545e+17,0.9914597868919373
67,-9.660967494227067e+17,0.9903367757797241,-1.0832946559000248e+18,0.991373598575592
68,-1.0736332472267571e+18,0.9902978539466858,-1.2048086952721777e+18,0.9913808703422546
69,-1.1910237056778895e+18,0.9902526140213013,-1.3274311798040822e+18,0.9912286400794983
70,-1.3189852812353208e+18,0.9902120232582092,-1.4670276499676856e+18,0.9912657141685486
71,-1.4581918370879242e+18,0.9901737570762634,-1.6193568770977956e+18,0.9911592602729797
72,-1.6095232574158275e+18,0.9901401400566101,-1.7873890544178954e+18,0.9911569952964783
73,-1.7737511245038223e+18,0.9900978207588196,-1.961298396266365e+18,0.9910885095596313
74,-1.9517511993634324e+18,0.9900703430175781,-2.153393522999296e+18,0.9910474419593811
75,-2.144445422494548e+18,0.9900246858596802,-2.366468980857635e+18,0.9910212159156799
76,-2.3527993025453097e+18,0.9899932742118835,-2.5866175970174566e+18,0.9909694194793701
77,-2.577843219349897e+18,0.9899539947509766,-2.824292978279842e+18,0.99090975522995
78,-2.8205595865477284e+18,0.9899164438247681,-3.0871163894927196e+18,0.9908488988876343
79,-3.082004210179375e+18,0.9898722171783447,-3.361520956680962e+18,0.9908071160316467
80,-3.36346489323887e+18,0.9898324012756348,-3.6673454430224384e+18,0.9907710552215576
81,-3.6660697346563113e+18,0.9897955060005188,-3.980923410485084e+18,0.9906911253929138
82,-3.9910479884315525e+18,0.9897609353065491,-4.3163571952067543e+18,0.990661084651947
83,-4.339694604384207e+18,0.989732027053833,-4.69521151874302e+18,0.9906833171844482
84,-4.713365005473415e+18,0.9896998405456543,-5.102445886659625e+18,0.9906696081161499
85,-5.113544357030396e+18,0.9896606206893921,-5.533365384305967e+18,0.9906381964683533
86,-5.541899243804951e+18,0.98963463306427,-5.997428560459989e+18,0.9905804991722107
87,-5.999874973831791e+18,0.989602267742157,-6.478888759344497e+18,0.9905315637588501
88,-6.488735435727045e+18,0.9895704984664917,-6.980612957528916e+18,0.9904766082763672
89,-7.010449854816059e+18,0.9895545840263367,-7.551125351926071e+18,0.9904738068580627
90,-7.56660262735446e+18,0.989525556564331,-8.133606480147382e+18,0.9903767108917236
